Id,Predicted
14061,0.07880461
16467,0.09743291
25725,0.8558993
9100,0.84989953
32597,0.6339725
12156,0.9786345
2908,0.20740816
38379,0.92138946
38263,0.061993565
22142,0.07121719
18682,0.7993082
30513,0.892718
573,0.9065246
25191,0.3159334
13948,0.85147816
34343,0.9339424
21345,0.17942673
37655,0.22748654
6014,0.18719105
13765,0.32816786
3182,0.947826
8361,0.32901335
25144,0.36908478
29199,0.29284927
18241,0.88379127
8098,0.052044567
24576,0.978986
21636,0.6020053
26330,0.6407677
12803,0.7506828
12848,0.40514085
37276,0.56990504
29855,0.024365434
24145,0.42451704
16680,0.07674767
18307,0.046161152
32605,0.01623936
3611,0.28160474
29300,0.7960585
38283,0.97146285
20512,0.26914692
14651,0.7473837
23312,0.20236303
5253,0.9184084
28757,0.9737389
5897,0.98140395
22489,0.29166216
8114,0.22955368
22440,0.96340805
3100,0.2556973
27024,0.66389203
7777,0.96275795
14173,0.8620173
688,0.71079236
6275,0.25371388
39149,0.5451148
862,0.98212427
26366,0.46401614
38652,0.69980764
37203,0.8772693
16558,0.21262795
10343,0.2527521
2813,0.21224894
20745,0.8957617
18482,0.7366506
20604,0.36438343
14256,0.039294224
25083,0.5847604
37507,0.31101078
5016,0.5202625
1471,0.2521093
4232,0.93661106
13322,0.06567928
36953,0.051734038
12435,0.965496
33090,0.6268945
16034,0.2943272
24410,0.25342625
4358,0.8566436
25274,0.9592085
14915,0.93428016
10348,0.9123046
24949,0.071089886
8973,0.8334435
29334,0.32610014
35718,0.94902277
27746,0.49739137
13715,0.7796047
24481,0.09021886
14381,0.7215203
12143,0.74875635
4525,0.07341503
21116,0.94847006
19947,0.50636536
9595,0.16619955
3203,0.91647965
960,0.71746147
11416,0.21269464
30305,0.22370495
16390,0.03302153
31219,0.5409279
15807,0.36474472
33847,0.30459914
18262,0.07564008
35862,0.025970262
35613,0.95619303
7639,0.24224979
35979,0.32006836
3861,0.3546108
24598,0.04446991
11087,0.88182455
9554,0.37737745
20281,0.15453404
29879,0.91173494
11309,0.18281683
17477,0.16996494
27015,0.74297774
10021,0.29782972
13587,0.3078623
21076,0.027182147
1773,0.9103186
21608,0.22508997
28803,0.56857574
28576,0.7383291
1023,0.19400789
4594,0.6929005
22069,0.05133156
19018,0.9686802
20855,0.917102
19464,0.08139435
1363,0.08481928
20290,0.07963119
31307,0.91201854
38498,0.97004277
4810,0.94611377
4636,0.78221065
781,0.87272894
3392,0.94611204
20464,0.279014
20096,0.96771425
27771,0.44221836
3374,0.8832492
19930,0.70299214
8866,0.11763149
21069,0.87253827
19627,0.3868554
29306,0.49817502
1605,0.9371832
32922,0.8077919
39085,0.56613034
14919,0.0823731
36805,0.14964607
13505,0.046278175
8669,0.58146375
31480,0.017788412
19198,0.94146454
28966,0.7472699
25040,0.13038802
27095,0.60523427
13621,0.053493798
27492,0.833864
16875,0.042823467
26670,0.9526847
36878,0.6685752
19109,0.7974065
38005,0.12748444
11155,0.08824992
5621,0.6644818
21826,0.74361384
34333,0.53610903
2977,0.20330957
27396,0.5424048
19429,0.4401899
13238,0.84772116
9867,0.5018044
24555,0.04742944
4780,0.82740194
20624,0.89392203
35327,0.9613332
17918,0.4138512
18019,0.13456835
16770,0.80762464
5858,0.2439406
15115,0.13122202
12607,0.13891576
5034,0.119455814
2671,0.22877195
12963,0.93520445
17729,0.95161414
34153,0.8887603
10125,0.6277813
22671,0.65839136
23289,0.04705391
36630,0.48322153
35928,0.18497533
33477,0.97576445
13654,0.7464422
22488,0.28148845
14730,0.9112703
8864,0.27640182
21248,0.74548984
36042,0.45063838
19352,0.095795184
28028,0.20995028
18763,0.03430024
634,0.7142629
34624,0.94453806
17164,0.22616343
4576,0.9498483
33613,0.13255276
26243,0.65997404
30024,0.95684046
28722,0.9626249
21858,0.8546214
38646,0.31553468
2544,0.17305095
20270,0.68573695
350,0.3766171
36555,0.53698623
16113,0.91365427
17440,0.8856979
4319,0.12968998
25599,0.0741035
10391,0.22292936
34375,0.6643292
6254,0.8911212
5986,0.44299695
33649,0.04625869
13903,0.938944
31379,0.12755737
28076,0.5564356
30070,0.13149466
8705,0.94931686
8031,0.59257686
34286,0.15932065
29592,0.78866494
30710,0.81327593
1998,0.82944846
13892,0.6967736
38630,0.6788139
38235,0.7488777
15315,0.76779956
15520,0.87409794
25808,0.056333113
6987,0.6171384
10161,0.77461964
6889,0.94511306
3796,0.1734098
817,0.82198495
28239,0.19980282
19301,0.5939613
38885,0.12772444
20774,0.90749764
23592,0.95717514
19746,0.6727856
3746,0.09528664
19337,0.7684431
12135,0.7070881
18449,0.072077595
2820,0.026275167
34961,0.9691069
6115,0.28228676
11742,0.25717998
22877,0.06923022
751,0.78599507
10397,0.7811195
3433,0.96338195
34505,0.71949553
10515,0.17299582
29783,0.4874837
6878,0.9196588
10533,0.6745825
13056,0.11140586
25816,0.71106887
13020,0.53552115
11287,0.8756385
10874,0.59225655
20204,0.87310886
10345,0.86545956
24910,0.9800537
10578,0.043452654
