Id,Predicted
14061,0.07921104
16467,0.17192926
25725,0.884665
9100,0.83899957
32597,0.62309486
12156,0.9623413
2908,0.284986
38379,0.9000933
38263,0.056031525
22142,0.08544705
18682,0.7923131
30513,0.7818442
573,0.8691354
25191,0.2209207
13948,0.7914077
34343,0.9555968
21345,0.21270028
37655,0.24557126
6014,0.17966843
13765,0.2934238
3182,0.8997323
8361,0.1981222
25144,0.2262193
29199,0.31757778
18241,0.8473225
8098,0.07115982
24576,0.9620931
21636,0.6008247
26330,0.7043305
12803,0.6597431
12848,0.4443
37276,0.50456476
29855,0.05194694
24145,0.4382005
16680,0.07951065
18307,0.06649693
32605,0.037693355
3611,0.21531427
29300,0.7725906
38283,0.9405202
20512,0.22859167
14651,0.6469843
23312,0.17715025
5253,0.8764463
28757,0.95584387
5897,0.9709265
22489,0.2833486
8114,0.27003014
22440,0.94599205
3100,0.24771647
27024,0.54938835
7777,0.9323795
14173,0.7727688
688,0.6865265
6275,0.24071476
39149,0.29948545
862,0.9721152
26366,0.30299455
38652,0.69832754
37203,0.82156754
16558,0.21403843
10343,0.23148914
2813,0.21788847
20745,0.810366
18482,0.71400505
20604,0.2863329
14256,0.07036901
25083,0.56957376
37507,0.28542387
5016,0.55997205
1471,0.21089788
4232,0.924607
13322,0.08990891
36953,0.07262213
12435,0.94545925
33090,0.65703195
16034,0.21323396
24410,0.28010553
4358,0.7981149
25274,0.9607675
14915,0.8957946
10348,0.8819601
24949,0.08499087
8973,0.7963647
29334,0.35383612
35718,0.9267563
27746,0.37025192
13715,0.6242857
24481,0.11213437
14381,0.73637897
12143,0.67468053
4525,0.10790822
21116,0.91116005
19947,0.5068802
9595,0.13614969
3203,0.8183272
960,0.69039994
11416,0.25381646
30305,0.27544802
16390,0.050425176
31219,0.5336379
15807,0.33588186
33847,0.24148251
18262,0.12903608
35862,0.05504022
35613,0.955054
7639,0.30582356
35979,0.23342726
3861,0.21986258
24598,0.050198935
11087,0.85391307
9554,0.3010781
20281,0.1822818
29879,0.8824199
11309,0.20390217
17477,0.24969885
27015,0.6415782
10021,0.38506666
13587,0.29735968
21076,0.03927055
1773,0.8621622
21608,0.20332664
28803,0.55283344
28576,0.7436965
1023,0.17108887
4594,0.5186181
22069,0.04991562
19018,0.9472931
20855,0.8513517
19464,0.086143255
1363,0.08069112
20290,0.110468484
31307,0.83711064
38498,0.95708776
4810,0.94754636
4636,0.7728396
781,0.78848654
3392,0.899265
20464,0.20007634
20096,0.930762
27771,0.48282638
3374,0.7856507
19930,0.6120776
8866,0.13673018
21069,0.7711537
19627,0.3629433
29306,0.22792564
1605,0.9440771
32922,0.75420946
39085,0.61886865
14919,0.116213955
36805,0.19407874
13505,0.08083247
8669,0.538206
31480,0.03424829
19198,0.93859583
28966,0.69589216
25040,0.19332673
27095,0.53717625
13621,0.046692885
27492,0.8451532
16875,0.05186902
26670,0.93544847
36878,0.619946
19109,0.7494801
38005,0.2157554
11155,0.12302431
5621,0.6271644
21826,0.7289058
34333,0.64470255
2977,0.112948865
27396,0.42832923
19429,0.4961827
13238,0.8728958
9867,0.39630732
24555,0.06273569
4780,0.7909526
20624,0.8483962
35327,0.93899685
17918,0.4070429
18019,0.16558866
16770,0.726462
5858,0.36533353
15115,0.15798272
12607,0.12916182
5034,0.12898491
2671,0.22313643
12963,0.91639566
17729,0.9275708
34153,0.87816614
10125,0.7125992
22671,0.6776626
23289,0.07307966
36630,0.29290977
35928,0.123486854
33477,0.95703596
13654,0.73147774
22488,0.3125917
14730,0.91871035
8864,0.19648425
21248,0.6890024
36042,0.5513313
19352,0.109684326
28028,0.15746202
18763,0.06803273
634,0.7022418
34624,0.9433667
17164,0.21759067
4576,0.9121594
33613,0.2218446
26243,0.65506643
30024,0.9543421
28722,0.95292354
21858,0.82245034
38646,0.22962976
2544,0.16913031
20270,0.53764254
350,0.43026736
36555,0.42974275
16113,0.90733343
17440,0.8366083
4319,0.15323837
25599,0.09205773
10391,0.35648152
34375,0.6504179
6254,0.8733002
5986,0.52069974
33649,0.08177108
13903,0.87926
31379,0.11237251
28076,0.2968204
30070,0.14093563
8705,0.9392332
8031,0.5851901
34286,0.28755558
29592,0.6939663
30710,0.8430749
1998,0.78195614
13892,0.7115362
38630,0.6186665
38235,0.8126805
15315,0.70006526
15520,0.9153456
25808,0.061668564
6987,0.49320492
10161,0.68444884
6889,0.92016774
3796,0.15162271
817,0.8109829
28239,0.27705097
19301,0.5539704
38885,0.14511496
20774,0.8331772
23592,0.9359801
19746,0.5082299
3746,0.10023245
19337,0.7801804
12135,0.63856536
18449,0.14423351
2820,0.035441812
34961,0.96132636
6115,0.18203129
11742,0.3441643
22877,0.12721077
751,0.76231176
10397,0.73264796
3433,0.9427763
34505,0.6520327
10515,0.14371896
29783,0.4929959
6878,0.87448484
10533,0.48759824
13056,0.15762553
25816,0.75208
13020,0.49864513
11287,0.8849732
10874,0.5824174
20204,0.8042762
10345,0.8260925
24910,0.961599
10578,0.0671035
38177,0.85497767
29227,0.79809004
25250,0.92131764
22791,0.8063402
12730,0.85713404
37639,0.083449766
27683,0.30136034
8378,0.817938
34057,0.6036691
30758,0.061185498
21719,0.8789445
7453,0.6216005
37248,0.5891546
29242,0.2531727
22501,0.06485796
35829,0.2152215
11016,0.17906618
8898,0.21578941
31930,0.66808534
11912,0.859586
11109,0.06920235
12310,0.6624084
23150,0.18616885
32692,0.9311401
20735,0.6231129
37093,0.3539218
27070,0.9167993
30132,0.23541379
28702,0.75615644
27769,0.47699854
29715,0.92144644
32318,0.7395562
33102,0.13451391
18118,0.85195
27903,0.93738353
19042,0.9776143
26080,0.7297859
11332,0.2535699
11849,0.429719
1062,0.05307601
37709,0.2647139
8896,0.17104593
33014,0.272382
34872,0.46470317
31220,0.909762
36407,0.9430269
23697,0.3151673
20506,0.2563789
25423,0.24923843
11983,0.8334429
14466,0.23814884
